2,-0.03222146,0.0
203,0.03222146,0.2577717
405,0.0966644,0.3222147
608,0.0966644,0.3222147
809,0.0966644,0.3222147
1011,0.0966644,0.3866576
1211,0.0966644,0.483322
1414,0.0966644,0.6444293
1615,0.0966644,0.8377582
1817,0.1288859,1.09553
2017,0.1611073,1.385523
2218,0.2255502,1.772181
2419,0.2899932,2.384388
2621,0.4511004,3.222147
2823,0.6444293,4.253233
3025,0.8699797,5.413206
3225,1.063308,6.476514
3430,1.288859,7.539823
3631,1.643295,8.699795
3832,2.062174,9.988654
4034,2.513274,11.14863
4236,3.157703,12.46971
4438,3.769911,13.75856
4640,4.446562,15.07965
4842,5.090991,16.43295
5042,5.735421,17.62514
5243,6.412072,18.97844
5443,7.088722,20.33174
5643,7.765373,21.65282
5843,8.506466,22.9739
6044,9.054232,24.19832
6244,9.473111,25.19719
6445,9.89199,26.16383
6654,10.40753,27.35602
6858,10.98752,28.61266
7059,11.66417,29.90152
7260,12.3086,31.2226
7460,12.95303,32.60812
7661,13.88745,34.2192
7861,14.82187,35.86249
8061,15.69185,37.44134
8261,16.56183,38.95575
8462,17.20626,40.18017
8662,17.91513,41.59791
8863,18.75289,43.17677
9063,19.59065,44.78783
9265,20.46063,46.49557
9467,21.4595,48.20331
9668,22.49058,49.94327
9870,23.58611,51.68323
10072,24.6172,53.35875
10274,25.68051,54.84093
10474,26.74382,56.22646
10675,27.74268,57.70864
10875,28.74155,59.15861
11075,29.70819,60.64079
11275,30.67484,62.21964
11476,31.64148,63.73405
11676,32.54368,65.28069
11878,33.44588,66.98842
12078,34.34808,68.53506
12279,35.2825,70.11391
12480,36.21693,71.69276
12682,36.99024,73.17494
12884,37.76356,74.56047
13086,38.47243,76.01044
13288,39.11686,77.52485
13490,39.85795,79.07147
13692,40.69571,80.6181
13892,41.53346,82.16473
14092,42.30678,83.58247
14293,43.11232,85.03245
14494,43.85341,86.35353
14696,44.53006,87.77127
14898,45.14227,89.06013
15100,45.7867,90.31676
15302,46.36669,91.47674
15504,46.81779,92.44338
15704,47.17223,93.31336
15904,47.49444,94.28001
16105,47.65555,95.08554
16305,47.84887,95.89108
16505,48.13887,96.85773
16706,48.62218,98.11435
16908,49.20217,99.56432
17109,49.6855,100.9498
17311,50.26548,102.3676
17513,50.94213,103.9787
17715,51.58656,105.5253
17917,52.23099,107.0075
18119,53.03653,108.5863
18319,53.93873,110.1652
18520,55.00204,111.744
18720,56.0009,113.3873
18920,56.77422,114.9984
19120,57.57976,116.7061
19321,58.44973,118.575
19521,59.54527,120.3794
19722,60.60857,122.216
19922,61.60744,123.956
20123,62.54186,125.6959
20325,63.44407,127.4359
20528,64.31404,129.1436
20729,65.21625,130.7869
20931,66.08622,132.398
21133,66.89175,134.0091
21333,67.63286,135.5879
21535,68.40617,137.2634
21735,69.17948,138.8745
21936,70.01724,140.3889
22136,70.79056,142.0
22339,71.56387,143.5144
22541,72.30497,144.9966
22743,73.14272,146.4788
22945,73.91604,148.0254
23148,74.62491,149.4431
23349,75.26934,150.8931
23551,75.8171,152.4397
23751,76.36487,153.9219
23955,76.91264,155.4686
24155,77.58929,157.0152
24356,78.33038,158.4652
24556,79.1037,159.9796
24757,79.94145,161.5262
24959,80.74699,163.0084
25161,81.5203,164.4906
25363,82.22918,165.9728
25565,82.8736,167.4227
25765,83.51804,168.7116
25966,84.16247,170.1293
26168,84.8069,171.6115
26368,85.45132,173.0615
26569,86.03131,174.6081
26772,86.70796,176.187
26973,87.35239,177.6369
27175,87.99681,179.1191
27377,88.67348,180.5369
27579,89.35012,181.9868
27781,89.83344,183.5335
27981,90.02676,185.0157
28182,90.34898,186.4334
28382,90.80009,187.6256
28582,91.31563,188.8178
28782,91.92784,189.9133
28983,92.37894,190.9766
29183,92.86225,191.9433
29383,93.3778,193.0066
29584,93.89334,194.3599
29785,94.53778,195.8098
29988,95.11777,197.582
